Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1        Pavarde1       5         3         7         3         8         1         
Vardas2        Pavarde2       8         7         9         2         7         4         
Vardas3        Pavarde3       2         1         9         9         2         6         
Vardas4        Pavarde4       1         9         9         8         9         9         
Vardas5        Pavarde5       1         3         9         1         9         6         
Vardas6        Pavarde6       1         1         2         4         5         8         
Vardas7        Pavarde7       2         6         6         6         8         8         
Vardas8        Pavarde8       3         8         7         2         3         6         
Vardas9        Pavarde9       3         2         3         10        7         5         
Vardas10       Pavarde10      3         8         4         1         3         6         
Vardas11       Pavarde11      4         1         9         8         6         7         
Vardas12       Pavarde12      8         4         3         6         3         10        
Vardas13       Pavarde13      4         3         2         8         9         2         
Vardas14       Pavarde14      10        1         8         5         10        1         
Vardas15       Pavarde15      6         6         5         8         10        7         
Vardas16       Pavarde16      9         8         6         2         8         2         
Vardas17       Pavarde17      8         3         8         8         4         4         
Vardas18       Pavarde18      8         2         5         10        6         5         
Vardas19       Pavarde19      8         6         4         1         6         1         
Vardas20       Pavarde20      5         4         3         2         7         2         
Vardas21       Pavarde21      5         4         2         1         3         6         
Vardas22       Pavarde22      9         9         9         7         9         4         
Vardas23       Pavarde23      2         1         2         2         4         5         
Vardas24       Pavarde24      3         7         6         2         8         4         
Vardas25       Pavarde25      8         9         1         7         2         9         
Vardas26       Pavarde26      5         2         3         7         2         1         
Vardas27       Pavarde27      10        6         9         4         2         9         
Vardas28       Pavarde28      7         7         8         4         10        1         
Vardas29       Pavarde29      6         9         8         8         3         3         
Vardas30       Pavarde30      8         10        7         7         1         4         
Vardas31       Pavarde31      2         7         6         5         4         1         
Vardas32       Pavarde32      7         4         3         5         7         9         
Vardas33       Pavarde33      1         9         7         4         7         4         
Vardas34       Pavarde34      7         10        1         6         9         8         
Vardas35       Pavarde35      8         2         8         10        6         4         
Vardas36       Pavarde36      2         4         1         2         6         10        
Vardas37       Pavarde37      9         7         10        10        9         4         
Vardas38       Pavarde38      7         7         4         9         5         6         
Vardas39       Pavarde39      3         1         2         8         8         6         
Vardas40       Pavarde40      5         8         10        10        6         8         
Vardas41       Pavarde41      7         8         2         3         9         10        
Vardas42       Pavarde42      7         9         6         1         2         3         
Vardas43       Pavarde43      8         7         3         8         5         9         
Vardas44       Pavarde44      2         3         2         9         2         9         
Vardas45       Pavarde45      3         2         3         5         8         8         
Vardas46       Pavarde46      9         8         5         4         6         9         
Vardas47       Pavarde47      6         8         10        5         5         1         
Vardas48       Pavarde48      5         2         8         2         3         8         
Vardas49       Pavarde49      10        3         4         5         10        2         
Vardas50       Pavarde50      8         10        2         2         1         1         
Vardas51       Pavarde51      4         10        9         10        5         4         
